filename,tavola,row,col,syllable,is_variant,notes
tav_01_r1c1_ac.png,I,1,1,ac,False,
tav_01_r1c2_ad_at.png,I,1,2,ad-at,False,
tav_01_r1c3_al.png,I,1,3,al,False,
tav_01_r1c4_an.png,I,1,4,an,False,
tav_01_r1c5_ar.png,I,1,5,ar,False,
tav_01_r1c6_as.png,I,1,6,as,False,
tav_01_r2c1_atque.png,I,2,1,atque,False,Tironian sigla
tav_01_r2c2_au.png,I,2,2,au,False,
tav_01_r2c3_ba.png,I,2,3,ba,False,
tav_01_r2c4_bal.png,I,2,4,bal,False,
tav_01_r2c5_bar.png,I,2,5,bar,False,
tav_01_r2c6_bas.png,I,2,6,bas,False,
tav_01_r3c1_be.png,I,3,1,be,False,
tav_01_r3c2_bel.png,I,3,2,bel,False,
tav_01_r3c3_bem.png,I,3,3,bem,False,
tav_01_r3c4_ber.png,I,3,4,ber,False,
tav_01_r3c5_bi.png,I,3,5,bi,False,
tav_01_r3c6_bis.png,I,3,6,bis,False,
tav_02_r1c1_bli.png,II,1,1,bli,False,
tav_02_r1c2_bo.png,II,1,2,bo,False,
tav_02_r1c3_bro.png,II,1,3,bro,False,
tav_02_r1c4_bru.png,II,1,4,bru,False,
tav_02_r1c5_bu.png,II,1,5,bu,False,
tav_02_r1c6_bus.png,II,1,6,bus,False,
tav_02_r2c1_ca.png,II,2,1,ca,False,
tav_02_r2c2_cal.png,II,2,2,cal,False,
tav_02_r2c3_cam.png,II,2,3,cam,False,
tav_02_r2c4_can.png,II,2,4,can,False,
tav_02_r2c5_car.png,II,2,5,car,False,
tav_02_r2c6_cas.png,II,2,6,cas,False,
tav_02_r3c1_ce.png,II,3,1,ce,False,
tav_02_r3c2_ce_var.png,II,3,2,ce,True,variant form
tav_02_r3c3_cen.png,II,3,3,cen,False,
tav_02_r3c4_ces.png,II,3,4,ces,False,
tav_02_r3c5_ci.png,II,3,5,ci,False,
tav_02_r3c6_cin.png,II,3,6,cin,False,
tav_03_r1c1_cit.png,III,1,1,cit,False,
tav_03_r1c2_cle.png,III,1,2,cle,False,
tav_03_r1c3_co.png,III,1,3,co,False,
tav_03_r1c4_con.png,III,1,4,con,False,
tav_03_r1c5_cri.png,III,1,5,cri,False,
tav_03_r1c6_cu.png,III,1,6,cu,False,
tav_03_r2c1_cum.png,III,2,1,cum,False,
tav_03_r2c2_cum_var.png,III,2,2,cum,True,variant form
tav_03_r2c3_cus.png,III,2,3,cus,False,
tav_03_r2c4_da.png,III,2,4,da,False,
tav_03_r2c5_dal.png,III,2,5,dal,False,
tav_03_r2c6_dan.png,III,2,6,dan,False,
tav_03_r3c1_de.png,III,3,1,de,False,
tav_03_r3c2_del.png,III,3,2,del,False,
tav_03_r3c3_des.png,III,3,3,des,False,
tav_03_r3c4_dex.png,III,3,4,dex,False,
tav_03_r3c5_di.png,III,3,5,di,False,
tav_03_r3c6_do.png,III,3,6,do,False,
tav_04_r1c1_don.png,IV,1,1,don,False,
tav_04_r1c2_dos.png,IV,1,2,dos,False,
tav_04_r1c3_dra.png,IV,1,3,dra,False,
tav_04_r1c4_dre.png,IV,1,4,dre,False,
tav_04_r1c5_dri.png,IV,1,5,dri,False,
tav_04_r1c6_du.png,IV,1,6,du,False,
tav_04_r2c1_dul.png,IV,2,1,dul,False,
tav_04_r2c2_dus.png,IV,2,2,dus,False,
tav_04_r2c3_e.png,IV,2,3,e,False,
tav_04_r2c4_e_var.png,IV,2,4,e,True,variant form
tav_04_r2c5_er.png,IV,2,5,er,False,
tav_04_r2c6_est.png,IV,2,6,est,False,Tironian sigla
tav_04_r3c1_eu.png,IV,3,1,eu,False,
tav_04_r3c2_fa.png,IV,3,2,fa,False,
tav_04_r3c3_fe.png,IV,3,3,fe,False,
tav_04_r3c4_fer.png,IV,3,4,fer,False,
tav_04_r3c5_fi.png,IV,3,5,fi,False,
tav_04_r3c6_flu.png,IV,3,6,flu,False,
tav_05_r1c1_fo.png,V,1,1,fo,False,
tav_05_r1c2_fre.png,V,1,2,fre,False,
tav_05_r1c3_fro.png,V,1,3,fro,False,
tav_05_r1c4_fu.png,V,1,4,fu,False,
tav_05_r1c5_ful.png,V,1,5,ful,False,
tav_05_r1c6_fun.png,V,1,6,fun,False,
tav_05_r2c1_fus.png,V,2,1,fus,False,
tav_05_r2c2_ga.png,V,2,2,ga,False,
tav_05_r2c3_gau.png,V,2,3,gau,False,
tav_05_r2c4_ge.png,V,2,4,ge,False,
tav_05_r2c5_gel.png,V,2,5,gel,False,
tav_05_r2c6_gen.png,V,2,6,gen,False,
tav_05_r3c1_ger.png,V,3,1,ger,False,
tav_05_r3c2_gi.png,V,3,2,gi,False,
tav_05_r3c3_gin.png,V,3,3,gin,False,
tav_05_r3c4_gle.png,V,3,4,gle,False,
tav_05_r3c5_gis.png,V,3,5,gis,False,
tav_05_r3c6_go.png,V,3,6,go,False,
tav_06_r1c1_gum.png,VI,1,1,gum,False,
tav_06_r1c2_gun.png,VI,1,2,gun,False,
tav_06_r1c3_hi.png,VI,1,3,hi,False,
tav_06_r1c4_ho.png,VI,1,4,ho,False,
tav_06_r1c5_ha.png,VI,1,5,ha,False,
tav_06_r1c6_ia.png,VI,1,6,ia,False,
tav_06_r2c1_il.png,VI,2,1,il,False,
tav_06_r2c2_in.png,VI,2,2,in,False,
tav_06_r2c3_io.png,VI,2,3,io,False,
tav_06_r2c4_ip.png,VI,2,4,ip,False,
tav_06_r2c5_is.png,VI,2,5,is,False,
tav_06_r2c6_iu.png,VI,2,6,iu,False,
tav_06_r3c1_la.png,VI,3,1,la,False,
tav_06_r3c2_lan.png,VI,3,2,lan,False,
tav_06_r3c3_las.png,VI,3,3,las,False,
tav_06_r3c4_le.png,VI,3,4,le,False,
tav_06_r3c5_ler.png,VI,3,5,ler,False,
tav_06_r3c6_lis.png,VI,3,6,lis,False,
tav_07_r1c1_lo.png,VII,1,1,lo,False,
tav_07_r1c2_lon.png,VII,1,2,lon,False,
tav_07_r1c3_ma.png,VII,1,3,ma,False,
tav_07_r1c4_mal.png,VII,1,4,mal,False,
tav_07_r1c5_mar.png,VII,1,5,mar,False,
tav_07_r1c6_mas.png,VII,1,6,mas,False,
tav_07_r2c1_mau.png,VII,2,1,mau,False,
tav_07_r2c2_me_mi.png,VII,2,2,me-mi,False,
tav_07_r2c3_mel.png,VII,2,3,mel,False,
tav_07_r2c4_men.png,VII,2,4,men,False,
tav_07_r2c5_mer.png,VII,2,5,mer,False,
tav_07_r2c6_mo.png,VII,2,6,mo,False,
tav_07_r3c1_mu.png,VII,3,1,mu,False,
tav_07_r3c2_mul.png,VII,3,2,mul,False,
tav_07_r3c3_mus.png,VII,3,3,mus,False,
tav_07_r3c4_na.png,VII,3,4,na,False,
tav_07_r3c5_nam.png,VII,3,5,nam,False,
tav_07_r3c6_nar.png,VII,3,6,nar,False,
tav_08_r1c1_ne_ni.png,VIII,1,1,ne-ni,False,
tav_08_r1c2_ner.png,VIII,1,2,ner,False,
tav_08_r1c3_nes.png,VIII,1,3,nes,False,
tav_08_r1c4_nes_var.png,VIII,1,4,nes,True,variant form
tav_08_r1c5_nit.png,VIII,1,5,nit,False,
tav_08_r1c6_nis.png,VIII,1,6,nis,False,
tav_08_r2c1_no.png,VIII,2,1,no,False,
tav_08_r2c2_nos.png,VIII,2,2,nos,False,
tav_08_r2c3_nu.png,VIII,2,3,nu,False,
tav_08_r2c4_nul.png,VIII,2,4,nul,False,
tav_08_r2c5_num.png,VIII,2,5,num,False,
tav_08_r2c6_num_var.png,VIII,2,6,num,True,variant form
tav_08_r3c1_nus.png,VIII,3,1,nus,False,
tav_08_r3c2_oc.png,VIII,3,2,oc,False,
tav_08_r3c3_om.png,VIII,3,3,om,False,
tav_08_r3c4_os.png,VIII,3,4,os,False,
tav_08_r3c5_pa.png,VIII,3,5,pa,False,
tav_08_r3c6_par.png,VIII,3,6,par,False,
tav_09_r1c1_pau.png,IX,1,1,pau,False,
tav_09_r1c2_pe.png,IX,1,2,pe,False,
tav_09_r1c3_per.png,IX,1,3,per,False,
tav_09_r1c4_pi.png,IX,1,4,pi,False,
tav_09_r1c5_pl.png,IX,1,5,pl,False,
tav_09_r1c6_ple.png,IX,1,6,ple,False,
tav_09_r2c1_po.png,IX,2,1,po,False,
tav_09_r2c2_pon.png,IX,2,2,pon,False,
tav_09_r2c3_por.png,IX,2,3,por,False,
tav_09_r2c4_post.png,IX,2,4,post,False,
tav_09_r2c5_pra.png,IX,2,5,pra,False,
tav_09_r2c6_pri.png,IX,2,6,pri,False,
tav_09_r3c1_pro.png,IX,3,1,pro,False,
tav_09_r3c2_pu.png,IX,3,2,pu,False,
tav_09_r3c3_quar.png,IX,3,3,quar,False,
